feature,JS_divergence,Wasserstein
3GNLFb,0.4190768170884425,3.8850329420010663
4GNLFb,0.324453212736813,0.5737416581862547
5GNLFb,0.2285389406173988,0.06549814056796699
1GNLFf,0.3632405123288719,19.349344024524374
2GNLFf,0.4602919359613397,12.6563796607454
3GNLFf,0.45982380286884444,3.680381514010234
4GNLFf,0.3550330804389649,0.4819207082341645
5GNLFf,0.19694521981127355,0.05108823099706398
1GNLFm,0.3399379572787648,17.842785107092972
2GNLFm,0.42091497458941296,11.132979261060257
3GNLFm,0.40893281935117415,2.996488714597595
4GNLFm,0.3202691226530228,0.35323684098620867
5GNLFm,0.22336115965753017,0.033774143116930645
1GNLFn,0.3423165310060829,17.729703312087292
2GNLFn,0.4051208479714203,10.453198668032755
3GNLFn,0.37885787769092105,2.716841940052577
4GNLFn,0.3002036668734852,0.32880420239526975
5GNLFn,0.2100544560936242,0.033843343685125246
1GNLFs,0.35997265649068166,19.459266944645886
2GNLFs,0.4495432876700228,12.652133496448304
3GNLFs,0.44639403589728865,3.875610263713994
4GNLFs,0.3488705923699342,0.5743294603516025
5GNLFs,0.24316548246417047,0.06660191318689854
1GNLFtv,0.3650576594684583,19.68980348939709
2GNLFtv,0.46122640604189674,13.016964963559465
3GNLFtv,0.4609850575900251,4.040677155978996
4GNLFtv,0.3529579561576413,0.622880410417925
5GNLFtv,0.2123787311170623,0.07991959852813943
1GNLFw,0.3389962576171253,18.20194817014537
2GNLFw,0.415012745767098,11.909731578044562
3GNLFw,0.4189406634271196,3.685725511691352
4GNLFw,0.3242012650979927,0.5098975603725793
5GNLFw,0.21381071854449035,0.05427508463562582
NSLO,0.47179413661519853,0.025522718832839648
NSLOsn,0.1666471647035861,0.06168187164243208
NSLOb,0.42601048776566963,0.08620195906726989
N2SLO,0.5276927746721348,0.04777821678221431
N2SLOsn,0.13971013795780124,0.030444671360784843
N2SLOb,0.5368794317138814,0.1632395914117427
NSCWO,0.16023841795944757,0.002018150208107536
NSCWOsn,0.2484817976963273,0.031097185513815847
NSCWOb,0.14437882377256178,0.01647872649539179
N2SCWO,0.31713914894653183,0.0072284060217164495
N2SCWOsn,0.13401420796630364,0.012436245121562788
N2SCWOb,0.32371250394149753,0.06858123290041444
NSFWO,0.5319770785141332,0.023288244089974996
