feature,JS_divergence,Wasserstein
WFCOCAa,0.20714070296620374,0.3480267291056728
T10KCOCAa,0.360967242036125,0.02604550155659314
T20KCOCAa,0.38232252111627707,0.022612607200623094
T30KCOCAa,0.4040546287915967,0.021347058430712364
T40KCOCAa,0.41050006765964897,0.02040680619203067
T50KCOCAa,0.4074253426091892,0.01864865246020307
T60KCOCAa,0.40477744518963765,0.01751821935372534
T70KCOCAa,0.39920498304267726,0.01681762311304559
T80KCOCAa,0.3964493840036503,0.015836131113163697
T90KCOCAa,0.393726011281456,0.015379579293228557
T100KCOCAa,0.3809200830436917,0.014175531871029849
WRCOCAa,0.2139154500081794,0.03433622352471742
SDCOCAa,0.18940684409077277,0.983794603368545
VCCOCAa,0.3998120732680144,1.2088158373016882
JDCOCAa,0.4025464905814764,0.01636966592237038
CDCOCAa,0.35535304556717007,0.019407476630689476
RSCOCAa,0.1825823090699391,0.010102762771896149
DPCOCAa,0.1646442856897712,0.0030753691264667976
DPCOCAanorm,0.1646442856897712,0.003075220094701953
KLDCOCAa,0.2953673417469335,0.1510922939667869
WFtv,0.3470132680784034,0.33190848085193186
WFsm,0.4081785859102194,0.382929340402747
WFpod,0.34450553458611044,0.30103585843333325
WFml,0.3745053286293625,0.3673721241339895
CDpod,0.35947464385785494,0.265799517756798
CDtv,0.3674494202627971,0.2851994762778402
CDsm,0.4111411797868318,0.2935102402496799
WPtv,0.3761327668533798,0.2407344175718688
WPpod,0.3726258252222859,0.21094773180636456
WPsm,0.41498344206818844,0.28831646421100887
AUX,0.1363150503944318,0.06725336393218667
QUANTcn,0.28094989527257025,0.015045846223353879
CONJscaus,0.27646599135555866,0.045766198240342525
PREPc,0.3637846466057045,0.011995930966808756
CONJscom,0.23849678237450167,0.019199134575989898
CONJscond,0.26219633962764627,0.02232719937342613
CONJ,0.22836304314253053,0.19354465903835777
CONJc,0.32862639537669225,0.14403383407651343
DETda,0.23742271477720164,0.09337466849123532
DETdem,0.15724386696349313,0.029672159821911466
DETdemp,0.30169815974399744,0.00948792346375257
DETdems,0.16980056951785166,0.032114714902562666
DET,0.21243666666835112,0.2712281254344642
QUANTfn,0.3556691327225456,0.013004723975227558
PRNi,0.2308102484530122,0.03839962275898795
PRNip,0.38637323010378827,0.009429892806372167
PRNis,0.23230063280848276,0.03731902052740606
QUANTi,0.23303409925038587,0.04393888243968895
DETia,0.17634337779289502,0.03971431413792562
CONJsm,0.2989782802025707,0.01671542208618014
QUANTmn,0.21697421092051283,0.0011587604775253541
NEG,0.20575485621633907,0.019105478428458413
QUANTn,0.27349161454872345,0.019476180734383862
QUANTon,0.1726230988776195,0.010957383734689465
PRNp,0.2689533164662517,0.2069158091901463
PRNp1p,0.27321185907774614,0.022503637576708493
PRNp1s,0.4587810512141017,0.26946990068316035
PRNp2,0.49226901941672513,0.09776494064749927
PRNp3p,0.3032998123939894,0.021244647198065812
PRNp3s,0.2138211174515569,0.055393896201946194
CONJsp,0.2904072139601305,0.008106069093733173
PRNposs,0.45083427034580403,0.13825693180047505
PRNposs1p,0.21847170037275063,0.009066982172921356
PRNposs1s,0.5639181090560397,0.13182121541384584
PRNposs2,0.37893574958545506,0.02675312787531246
PRNposs3p,0.18295865741589026,0.008615991175442216
PRNposs3s,0.23685387132543403,0.030952448320021083
DETposs,0.45083427034580403,0.13825693180047505
DETposs1p,0.21847170037275063,0.009066982172921356
DETposs1s,0.5639181090560397,0.13182121541384584
DETposs2,0.37893574958545506,0.02675312787531246
DETposs3p,0.18295865741589026,0.008615991175442216
DETposs3s,0.23685387132543403,0.030952448320021083
PREP,0.23762207618203324,0.2643032037983482
AUXp,0.18706761301675154,0.07945096877412132
AUXm,0.189754116200776,0.027182890937494094
PRN,0.28065778709548145,0.24234280284139792
CONJspur,0.2056994393637507,0.0016594644358136424
QUANT,0.20201441567940348,0.060984721096328125
PRNrec,0.2320519648883415,0.0018244374946694531
PRNref,0.3244520187614374,0.011348704574545308
PRNref1p,0.12192876196877347,0.000228814985053038
PRNref1s,0.3054162063777562,0.009621380676792263
PRNref2p,0.08436882769759114,8.909766326274058e-05
PRNref2s,0.34556048851317134,0.0019161186161980536
PRNref3p,0.2772157301215893,0.001106096877742822
PRNref3s,0.326272700040015,0.0023191533496663506
PREPs,0.2340869127025379,0.25941945684114337
CONJs,0.18300129711231497,0.07599046202232068
CONJst,0.2570382275458278,0.0374227250794634
TOPart,0.12069296496393761,0.00838812894270767
TOPbus,0.20568995218290434,0.009560675982800255
TOPedu,0.18584875892165065,0.020451745112425375
TOPent,0.27062028347940587,0.03684004620153247
TOPenv,0.2437539108749864,0.00910408304573982
TOPfas,0.3306558631692303,0.013528376053041144
TOPfood,0.23043649242033978,0.014517965835266093
TOPhea,0.43637837885202574,0.046000515372846947
TOPmus,0.06889023552181349,0.021870614487922935
TOPpol,0.03854390369547606,0.009214216700992223
TOPrel,0.3762251006881812,0.04429807819198556
TOPsci,0.25194373957199195,0.011610884571967083
TOPspo,0.25408689045304966,0.049949585956143044
TOPtec,0.17936262481456677,0.020760602269473648
TOPtra,0.05309165792996003,0.010997843873871125
EMOacc,0.34611536678592236,0.018773026395724188
EMOang,0.37049311077000874,0.010712637521113188
EMOann,0.4350596180181831,0.014322286220788408
EMOant,0.30580711021752544,0.023129623364775705
EMOanx,0.4866406068575074,0.02119080380242264
EMObli,0.3189184375130442,0.008913663891404546
EMOcal,0.2341893441833192,0.013186790191497192
EMOcon,0.2912451342934876,0.017818188592666453
EMOdel,0.2299324976774001,0.013312340840883383
EMOdsg,0.21007390257415134,0.009597789798660647
EMOdsl,0.32738081953771825,0.004764860972321979
EMOeag,0.36411145048596566,0.038202953405641504
EMOecs,0.3045726715241006,0.010518693112789383
EMOent,0.24542985749294446,0.009564392495124715
EMOfea,0.4869223512833818,0.017013268709764676
